iter	MultiClass
0	1.368977136
1	1.352035123
2	1.335080009
3	1.326749225
4	1.313964093
5	1.300856287
6	1.2893161
7	1.282745285
8	1.267509473
9	1.258216012
10	1.247840849
11	1.23635206
12	1.22684844
13	1.217035699
14	1.209880232
15	1.205635037
16	1.197419194
17	1.190185399
18	1.180491156
19	1.173408908
20	1.165964882
21	1.159555637
22	1.152010509
23	1.145616254
24	1.13987009
25	1.135236274
26	1.132877176
27	1.126883959
28	1.123097293
29	1.117169805
30	1.111680963
31	1.106246914
32	1.102733355
33	1.096190086
34	1.093336807
35	1.09021117
36	1.087755787
37	1.083321776
38	1.079163668
39	1.078064717
40	1.072405036
41	1.067453695
42	1.062636369
43	1.05872833
44	1.056055088
45	1.052383339
46	1.048749331
47	1.043631822
48	1.03878932
49	1.035849707
50	1.035173048
51	1.031294193
52	1.025924892
53	1.022106409
54	1.021595541
55	1.020059647
56	1.016177951
57	1.011731193
58	1.007894618
59	1.002949478
60	1.001511694
61	0.9974322838
62	0.9961028419
63	0.9930376068
64	0.9906969931
65	0.9903836407
66	0.9856775754
67	0.9833050407
68	0.9802631356
69	0.9784818188
70	0.9759587221
71	0.9733288305
72	0.9726105813
73	0.9716008435
74	0.9686680662
75	0.9653480368
76	0.9638883248
77	0.9598607407
78	0.9554796988
79	0.9550650751
80	0.9529051209
81	0.949203074
82	0.9464991439
83	0.9425688907
84	0.9409399278
85	0.9374379761
86	0.9339565013
87	0.9319499036
88	0.9304730987
89	0.9290687254
90	0.9260031849
91	0.9244938154
92	0.924392621
93	0.9242005405
94	0.9207065117
95	0.9192523181
96	0.9188245118
97	0.9160539068
98	0.9127409014
99	0.910241592
100	0.9101699775
101	0.9073016196
102	0.9066400383
103	0.9049507515
104	0.9046119293
105	0.9038032451
106	0.9012887437
107	0.8998216473
108	0.8995945864
109	0.8966946337
110	0.8959308374
111	0.8941660648
112	0.8925253565
113	0.8902502131
114	0.8883514289
115	0.8877294479
116	0.8866208458
117	0.8849417003
118	0.8846601797
119	0.8826028561
120	0.879344951
121	0.8761792023
122	0.8745886273
123	0.8718799709
124	0.8712768148
125	0.86802547
126	0.8666307383
127	0.8654334978
128	0.8624928924
129	0.8599667866
130	0.859920196
131	0.8583512207
132	0.8554876894
133	0.8527129403
134	0.8512078802
135	0.8487328843
136	0.8465937264
137	0.8444150866
138	0.8424068331
139	0.8406974817
140	0.8401170548
141	0.8378728799
142	0.8348344211
143	0.83378612
144	0.8312371158
145	0.8292885073
146	0.8278221051
147	0.8255486346
148	0.8233047734
149	0.8220570271
150	0.8193837124
151	0.8169297735
152	0.814742125
153	0.8122464744
154	0.8103239247
155	0.8083646727
156	0.8065105295
157	0.8048563078
158	0.8027693804
159	0.8001126149
160	0.7978232118
161	0.7959112774
162	0.7933792299
163	0.7906232902
164	0.7888960823
165	0.7856269616
166	0.7842791287
167	0.7822976614
168	0.7789439412
169	0.7765515311
170	0.7742492801
171	0.7717246385
172	0.7699904391
173	0.7676539857
174	0.7651726236
175	0.7625234852
176	0.7603915528
177	0.7577246741
178	0.7555125519
179	0.7536668443
