iter	Passed	Remaining
0	159	159372
1	259	129497
2	362	120469
3	467	116356
4	571	113669
5	585	96959
6	589	83614
7	702	87086
8	803	88434
9	909	90051
10	922	82936
11	1043	85914
12	1050	79740
13	1186	83590
14	1228	80686
15	1337	82247
16	1357	78500
17	1466	79996
18	1566	80875
19	1585	77694
20	1592	74224
21	1706	75874
22	1709	72625
23	1712	69651
24	1824	71152
25	1924	72081
26	1938	69857
27	2049	71157
28	2154	72135
29	2177	70407
30	2277	71182
31	2385	72167
32	2483	72763
33	2491	70785
34	2600	71711
35	2706	72475
36	2807	73064
37	2906	73571
38	3005	74056
39	3064	73545
40	3164	74029
41	3255	74264
42	3363	74860
43	3412	74150
44	3527	74858
45	3654	75801
46	3777	76593
47	3878	76917
48	3978	77213
49	4081	77553
50	4181	77813
51	4287	78155
52	4392	78488
53	4491	78687
54	4588	78831
55	4685	78981
56	4785	79162
57	4881	79278
58	4983	79481
59	5080	79591
60	5088	78326
61	5195	78602
62	5299	78813
63	5313	77711
64	5416	77916
65	5525	78187
66	5533	77062
67	5647	77405
68	5743	77499
69	5848	77697
70	5862	76706
71	5981	77094
72	6102	77491
73	6214	77768
74	6330	78080
75	6429	78167
76	6530	78276
77	6628	78355
78	6731	78473
79	6838	78641
80	6949	78847
81	7073	79184
82	7173	79254
83	7273	79315
84	7375	79395
85	7477	79473
86	7584	79591
87	7684	79641
88	7788	79727
89	7891	79796
90	7998	79894
91	8098	79927
92	8202	80000
93	8301	80008
94	8408	80105
95	8529	80317
96	8652	80548
97	8765	80679
98	8866	80693
99	8974	80774
100	9075	80779
101	9182	80839
102	9295	80948
103	9397	80965
104	9499	80971
105	9561	80640
106	9735	81246
107	9833	81218
108	9923	81118
109	10016	81046
110	10109	80964
111	10205	80917
112	10302	80868
113	10391	80761
114	10481	80660
115	10581	80640
116	10672	80541
117	10762	80443
118	10851	80341
119	10955	80342
120	11060	80350
121	11162	80334
122	11253	80235
123	11343	80135
124	11433	80033
125	11522	79925
126	11615	79846
127	11712	79788
128	11808	79727
